match,group,is_participating,start,end,content,URL 
263,1,yes,160369,160385,233/L18_3102330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L18_3102330.b3dm
264,1,yes,160661,160678,233/L19_31023300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023300.b3dm
265,1,yes,160954,160972,233/L20_310233000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233000.b3dm
270,1,yes,164745,164763,233/L20_310233010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233010.b3dm
275,1,yes,167380,167398,233/L20_310233020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233020.b3dm
278,1,yes,168845,168863,233/L20_310233030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233030.b3dm
284,1,yes,172354,172372,233/L20_310233040,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233040.b3dm
289,1,yes,174990,175007,233/L19_31023310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023310.b3dm
290,1,yes,175283,175301,233/L20_310233100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233100.b3dm
295,1,yes,177918,177936,233/L20_310233110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233110.b3dm
300,1,yes,180553,180571,233/L20_310233120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233120.b3dm
305,1,yes,183188,183206,233/L20_310233130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233130.b3dm
310,1,yes,185824,185841,233/L19_31023320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023320.b3dm
311,1,yes,186117,186135,233/L20_310233200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233200.b3dm
316,1,yes,190197,190215,233/L20_310233210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233210.b3dm
321,1,yes,193410,193428,233/L20_310233220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233220.b3dm
326,1,yes,196908,196926,233/L20_310233230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233230.b3dm
331,1,yes,199833,199850,233/L19_31023330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023330.b3dm
332,1,yes,200126,200144,233/L20_310233300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233300.b3dm
337,1,yes,202761,202779,233/L20_310233310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233310.b3dm
342,1,yes,205396,205414,233/L20_310233320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233320.b3dm
347,1,yes,208031,208049,233/L20_310233330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233330.b3dm
