match,group,is_participating,start,end,content,URL
232,1,yes,136741,136759,322/L20_312322220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322220.b3dm
237,1,yes,139376,139394,322/L20_312322230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322230.b3dm
242,1,yes,142012,142029,322/L19_31232230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L19_31232230.b3dm
243,1,yes,142305,142323,322/L20_312322300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322300.b3dm
248,1,yes,144940,144958,322/L20_312322310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322310.b3dm
253,1,yes,147575,147593,322/L20_312322320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322320.b3dm
258,1,yes,150497,150515,322/L20_312322330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322330.b3dm
263,1,yes,153704,153720,323/L18_3123230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L18_3123230.b3dm
264,1,yes,153996,154013,323/L19_31232300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L19_31232300.b3dm
265,1,yes,154289,154307,323/L20_312323000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323000.b3dm
270,1,yes,157786,157804,323/L20_312323010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323010.b3dm
275,1,yes,161571,161589,323/L20_312323020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323020.b3dm
280,1,yes,165068,165086,323/L20_312323030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323030.b3dm
285,1,yes,168570,168587,323/L19_31232310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L19_31232310.b3dm
286,1,yes,168863,168881,323/L20_312323100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323100.b3dm
291,1,yes,172652,172670,323/L20_312323110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323110.b3dm
296,1,yes,176441,176459,323/L20_312323120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323120.b3dm
301,1,yes,179365,179383,323/L20_312323130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323130.b3dm
306,1,yes,182001,182018,323/L19_31232320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L19_31232320.b3dm
307,1,yes,182294,182312,323/L20_312323200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323200.b3dm
312,1,yes,184929,184947,323/L20_312323210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323210.b3dm
317,1,yes,188425,188443,323/L20_312323220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323220.b3dm
322,1,yes,191347,191365,323/L20_312323230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323230.b3dm
327,1,yes,195131,195148,323/L19_31232330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L19_31232330.b3dm
328,1,yes,195424,195442,323/L20_312323300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323300.b3dm
333,1,yes,198920,198938,323/L20_312323310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323310.b3dm
338,1,yes,202129,202147,323/L20_312323320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323320.b3dm
343,1,yes,205912,205930,323/L20_312323330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/323/L20_312323330.b3dm
